,Pokemon1,Pokemon2,HP1,Attack1,Defense1,Sp.Atk1,Sp.Def1,Speed1,HP2,Attack2,Defense2,Sp.Atk2,Sp.Def2,Speed2,Winner,Winner_Encode
0,266,298,50,64,50,45,50,41,70,70,40,60,40,60,298,1
1,702,701,91,90,72,90,129,108,91,129,90,72,90,108,701,1
2,191,668,55,40,85,80,105,40,75,75,75,125,95,40,668,1
3,237,683,40,40,40,70,40,20,77,120,90,60,90,48,683,1
4,151,231,70,60,125,115,70,55,20,10,230,10,230,5,151,0
5,657,752,50,47,50,57,50,65,60,50,150,50,150,60,657,0
6,192,134,40,50,45,70,45,70,65,50,35,115,95,95,134,1
7,73,545,70,80,50,35,35,35,150,100,120,100,120,90,545,1
8,220,763,50,65,90,35,35,15,50,53,62,58,63,44,763,1
9,302,31,40,30,30,55,30,85,35,55,40,50,50,90,31,1
10,442,130,40,55,30,30,30,60,30,45,55,70,55,85,130,1
11,701,624,91,129,90,72,90,108,38,30,85,55,65,30,701,0
12,15,283,50,20,55,25,25,30,100,110,90,85,90,60,283,1
13,151,87,70,60,125,115,70,55,95,75,110,100,80,30,151,0
14,269,462,100,164,150,95,120,71,70,94,50,94,50,66,269,0
15,763,448,50,53,62,58,63,44,77,85,51,55,51,65,448,1
16,143,263,130,85,80,85,95,60,90,85,75,115,100,115,263,1
17,365,240,45,40,60,40,75,50,100,100,80,60,60,50,240,1
18,499,774,70,145,88,140,70,112,50,50,150,50,150,50,499,0
19,563,578,95,100,85,108,70,70,116,55,85,107,95,29,563,0
20,440,687,64,66,68,81,76,50,65,125,100,60,70,70,687,1
21,373,441,110,78,73,76,71,60,84,86,88,111,101,60,441,1
22,654,671,55,40,50,65,85,40,60,55,90,145,90,80,671,1
23,121,355,105,130,120,45,45,40,70,120,100,145,105,20,121,0
24,609,649,45,35,50,70,50,30,55,75,60,75,60,103,649,1
25,270,708,106,90,130,90,154,110,100,150,120,120,100,90,270,0
26,460,568,60,79,105,59,85,36,85,110,90,45,90,80,568,1
27,626,767,54,78,103,53,45,22,58,89,77,45,45,48,767,1
28,139,451,75,100,95,40,70,110,80,120,79,95,79,70,139,0
29,694,747,58,109,112,48,48,109,74,48,76,83,81,104,694,0
30,455,549,97,165,60,65,50,58,100,100,100,100,100,100,549,1
31,181,301,55,35,50,55,110,85,60,85,60,50,50,125,301,1
32,208,184,75,75,55,105,85,30,85,90,80,70,80,130,184,1
33,536,365,50,65,107,105,107,86,45,40,60,40,75,50,536,0
34,260,381,45,75,37,70,55,83,75,125,100,70,80,45,381,1
35,471,269,111,83,68,92,82,39,100,164,150,95,120,71,269,1
36,621,287,50,75,70,35,70,48,38,30,41,30,41,60,287,1
37,406,134,43,30,55,40,65,97,65,50,35,115,95,95,406,0
38,592,503,103,60,126,80,126,50,70,90,110,60,75,95,503,1
39,564,242,45,55,39,35,39,42,35,65,35,65,35,65,242,1
40,579,242,50,55,50,36,30,43,35,65,35,65,35,65,242,1
41,200,719,100,50,80,60,80,50,56,61,65,48,45,38,200,0
42,376,135,40,40,55,40,70,55,65,83,57,95,85,105,376,0
43,76,441,50,75,35,70,30,40,84,86,88,111,101,60,441,1
44,667,645,55,55,55,85,55,30,51,65,65,80,75,59,645,1
45,475,400,55,66,44,44,56,85,90,60,70,75,70,45,475,0
46,3,737,80,82,83,100,100,80,86,68,72,109,66,106,737,1
47,435,45,95,109,105,75,85,56,115,45,20,45,25,20,435,0
48,231,146,20,10,230,10,230,5,130,65,60,110,95,65,146,1
49,510,715,60,62,50,62,60,40,91,72,90,129,90,108,715,1
50,456,260,30,42,118,42,88,30,45,75,37,70,55,83,260,1
51,164,751,106,190,100,154,100,130,60,150,50,150,50,60,751,1
52,424,754,100,150,140,100,90,90,101,72,72,99,89,29,424,0
53,258,779,45,30,15,85,65,65,43,70,48,50,60,38,258,0
54,360,208,45,100,45,45,45,10,75,75,55,105,85,30,208,1
